title,article
5G 기반 디지털트윈기술로 재난 피해 최소화 한다, 과학기술정보통신부 장관 최기영 이하 과기정통부 는 5G 전략의 일환으로 5G기반 디지털트윈 공공선도 사업 에 2개 신규과제를 선정하고 본격적으로 지원에 나선다고 밝혔다 디지털트윈은 도시 제품 공장 건물 등을 디지털로 똑같이 복제해 재해예방 생산성 향상을 이뤄내는 신산업이다 과기정통부는 올해부터 22년까지 총 300억원을 투입할 예정이다 과기정통부는 자유공모를 통해 경남 광주 2개 컨소시엄을 최종 선정했다 경남테크노파크 컨소시엄은 NC 파크 마산의료원 등 경상남도 창원시 김해시 등의 27개 시설물을 대상으로 건물 안전모니터링 재난관제 시뮬레이션 기반 서비스와 첨단보안 증강 가상현실 AR VR 등 5G 특화 서비스를 제공할 예정이다 광주광역시 컨소시엄은 영호남 달빛동맹과 육군사관학교가 참여하는 민 관 군 25개 시설물을 대상으로 고효율 저비용 시설센싱환경 구축 사용자 맞춤형 지능형 서비스 구현으로 사업의 연속성 및 확장성 등을 확보한다는 계획이다 이들 2개 컨소시엄에는 총 95억원이 투입될 예정이다 과기정통부 박윤규 정보통신정책관은 5G기술 디지털트윈 등의 ICT융합 신기술로 디지털 비대면 시장 기반을 마련하고 실시간 안전관리 체계 확보를 통해 국민의 안전을 보장하는 데 이바지할 것 이라며 5G 기반의 디지털트윈 사례가 세계적으로 드문 만큼 산업경쟁력 확보로 이어지도록 적극 노력하겠다 고 말했다   
4월 ICT 수출도 ‘부진’…반도체·디스플레이·휴대폰 ‘위축’, 언택트 효과 SSD 호조 지속 중국 베트남 수출 축소 코로나19 영향이 정보통신기술 ICT 분야도 만만치 않다 지난 4월 ICT 수출이 부진했다 반도체 디스플레이 휴대폰 3대 주력 산업 모두 위축했다 14일 산업통상자원부 장관 성윤모 는 지난 4월 ICT 수출액과 수입액을 각각 128억8000만달러와 88억7000만달러로 집계했다 전년동월대비 수출액은 14 3 감소했다 4년 전 수출 규모로 떨어졌다 무역수지는 40억1000만달러 흑자다 반도체 수출액은 72억6000만달러다 전년동월대비 15 1 줄었다 메모리반도체는 49억9000만달러 시스템반도체는 18억5000만달러다 각각 전년동월대비 14 9 와 12 9 축소했다 메모리반도체는 스마트폰 등 수요 둔화로 2개월 연속 하락했다 디스플레이 수출액은 12억4000만달러다 전년동월대비 28 1 떨어졌다 액정표시장치 LCD 패널 생산량 조정과 유기발광다이오드 OLED 패널 수요 둔화 영향이다 LCD TV 패널 가격 하락은 지속했다 모니터 및 노트북용은 안정세다 휴대폰 수출액은 6억5000만달러다 전년동월대비 37 2 내려갔다 완제품과 부분품 수출액은 각각 3억달러와 3억5000만달러다 전년동월대비 각각 43 6 와 30 5 출소했다 이동제한 직격탄을 맞았다 완제품은 유통망 붕괴 부분품은 생산 중단 여파를 벗어나지 못했다 컴퓨터 및 주변기기는 좋았다 10억8000만달러를 수출했다 전년동월대비 85 2 증가했다 컴퓨터는 전년동월대비 6 5 낮은 1억5000만달러를 수출했지만 주변기기와 솔리드스테이트드라이브 SSD 는 각각 전년동월대비 120 3 와 254 5 상승한 9억3000만달러와 8억3000만달러를 수출했다 7개월 연속 상승세다 세계적 생산 차질은 중국과 베트남 수출 축소로 나타났다 중국 홍콩 포함 은 66억1000만달러 베트남은 14억3000만달러 수출에 그쳤다 각각 전년동월대비 16 5 와 34 6 하락했다   
"과기정통부, 인공지능 온라인 경진대회 공고", 과학기술정보통신부 장관 최기영 이하 과기정통부 는 온라인상에서 인공지능 AI 알고리즘 개발 능력을 경연하는 2020 인공지능 온라인 경진대회 를 개최한다고 밝혔다 인공지능 온라인 경진대회 는 인공지능 기술의 저변을 확대하고 알고리즘 개발 능력이 우수한 기업 대학 개인 등을 선발해 인공지능 기반의 사업화를 지원하는 대회이다 주어진 문제에 대해 다수의 참가자들이 이를 해결하기 위한 알고리즘을 개발하고 이를 평가해 우수팀의 사업화를 지원하는 도전 경쟁형 방식으로 지원된다 30개 기업에 총 48억원이 지원될 예정으로 영상 언어 수치처리 분야를 중심으로 20개의 문제를 온라인에 제시하고 인공지능 알고리즘 개발 설계 기술력이 우수한 기업을 선발 지원한다 인공지능에 관심 있는 누구나 참여할 수 있으며 참가자들에게는 대회기간 동안 딥러닝에 효과적인 GPU기반 컴퓨팅 자원 학습용 데이터 알고리즘 개발 환경을 제공한다 참가 접수는 6월 1일부터 2주간 인공지능 허브 aihub or kr 를 통해 진행되며 대회는 6월 17일부터 30일까지 온라인으로 개최되고 7월에 지원 대상을 선정하고 8월부터 사업화 지원이 시작된다 과기정통부는 대회를 통해 혁신적인 아이디어를 가진 중소벤처기업 및 전문연구자는 물론 어느 누구라도 인공지능 기술 및 서비스 개발에 도전할 수 있는 환경을 조성할 계획 이라고 밝혔다   
‘SW 종사자 표준계약서’ 시범도입··· SW 근로자 근로환경 개선 기대, 서울지역 400개 소프트웨어 SW 사업장에 SW 종사자 표준계약서 이하 SW표준계약서 가 시범 도입됐다 열악한 SW 근로자의 근로환경이 개선될 것으로 기대된다 13일 과학기술정보통신부 이하 과기정통부 와 서울지방고용노동청 이하 서울고용청 은 비전속 SW 종사자 이하 SW프리랜서 의 근로환경 개선과 공정한 계약관행 확산을 위해 SW표준계약서를 마련하고 서울지역 400개 SW사업장에 시범 도입한다고 밝혔다 SW표준계약서는 SW표준 근로계약서 와 SW표준 도급계약서 등 2개 종류로 마련됐다 이는 SW프리랜서의 계약형태가 근로계약 형태 41 4 와 도급계약 형태 42 로 이뤄지기 때문이다 SW표준 근로계약서는 SW프리랜서가 사용자와 단기간 또는 시간제로 근로계약을 체결해 사용자에게 지휘 감독을 받는 경우에 활용 가능하다 SW프리랜서가 담당하는 업무내용 근로시간 휴게시간을 명시하도록 하고 휴가규정을 명확히 했다 사용자에게는 근로계약서 작성 및 교부의무를 부여했다 SW표준 도급계약서는 SW프리랜서가 사업자와 프로젝트 단위로 계약을 체결하고 위탁받은 업무에 대해 자율성을 갖고 처리하는 1인 사업자 형태인 경우에 활용할 수 있다 도급업무의 범위 보수금액 지급방법 등을 명시하도록 했으며 도급 성과물에 대해서는 원칙적으로 도급 수급인이 공동소유하는 것으로 규정하고 계약서를 작성해 각자 보관하도록 했다 서울고용청은 SW표준계약서 현장 활용을 촉진하기 위해 2020년도 노무관리지도 근로조건 자율개선사업 에 따라 400개 SW사업장을 대상으로 표준계약서를 시범 도입한다 상대적으로 근로환경이 열악한 50인 미만의 중소 SW 사업장이 대상이다 서울고용청은 이번 시범 사업을 통해 근로감독관 및 공인노무사가 사업장 노무관리와 근로조건 컨설팅도 함께 제공한다 표준계약서 배포에 그치는 것이 아니라 SW프리랜서의 근로환경을 실질적으로 개선하겠다는 목표다 과기정통부는 SW표준계약서 이용 활성화를 위해 공공 SW사업 기술성평가 시 SW표준계약서를 사용하는 사업자에게 가점을 부여하는 인센티브 제공방안을 마련할 계획이다 정민오 서울고용청 청장은 SW표준계약서 보급으로 사용자와 근로자간 투명하고 공정한 고용관계가 확립될 것을 기대한다 며 SW프리랜서의 근로환경 개선은 국가전략산업인 SW산업 경쟁력 강화의 밑거름이 될 것 이라고 말했다 송경희 과기정통부 SW정책관은 SW표준계약서 도입으로 법적 보호를 받지 못했던 SW프리랜서 여러분이 제대로 대우받고 보호받는 환경이 조성될 것 이라며 앞으로도 SW 개발자와 기업 모두가 일하기 좋은 환경을 만드는 데 지속적으로 노력하겠다 고 전했다 한편 2018년 실시한 SW프리랜서 개발자 현황 조사에 따르면 국내 SW프리랜서는 약 2만6000명으로 추정된다 SW기업에 상주 근무하는 비율이 64 이나 계약서 작성은 54 에 그치는 등 기본적인 근로환경이 취약한 것으로 나타났다   
"서울과기대, 인공지능 공공정책전공과정 개설", 서울과학기술대학교가 IT정책전문대학원에 AI공공정책 전공과정을 국내 최초로 개설한다 서울과기대는 공공부문의 AI도입 전략은 물론 예측적 정책수립과 공공서비스의 제공 등에 적용할 수 있는 전문인력을 육성하기 위해 올해 가을학기부터 AI공공정책전공을 개설한다고 13일 밝혔다 가을학기 모집기한은 5월 18일부터 5월 29일까지다 AI공공정책전공 과정은 게 AI정책과 거버넌스 트랙 데이터기반 정책 트랙 그리고 공공서비스 혁신 트랙으로 구분된다 주요 교과목으로는 정책학이론 정책분석 정책평가 전략적 조직관리 등의 기본교과목과 AI 국가전략과 거버넌스 국가데이터정책론 데이터기반 행정사례 연습 증거기반 IT정책 연습 AI 생태계 정책 국가정보화연구 전자정부론 정부2 0 특강 사이버안보정책 디지털정부와 스마트시티 글로벌 전자정부와 ODA 등이 있다 본 전공에서 학위를 마칠 경우 향후 정부부문에 새로운 직책으로 등장할 것으로 예상되는 CDO Chief Data Officer 등에 지원할 수 있는 지식을 가질 것으로 예상하고 있다 뿐만 아니라 정부 정책연구원 및 공공기관 IT 기업 및 컨설팅회사 등에서 취업의 기회가 보다 더 확대될 것으로 기대된다 서울과기대는 AI공공정책전공은 국내 최초의 AI 공공정책 전공으로 AI지식과 공공정책 및 서비스에 관련된 지식을 융합해 우리나라 중앙 및 지방정부와 공공기관의 AI응용과 고도화에 기여할 수 있는 전문가를 양성하는데 기여할 것으로 기대된다 고 밝혔다   
비대면 진료 확대 논의…4차위 6월말 올해 첫 해커톤 개최, 4차산업혁명위원회가 올해 첫 해커톤 주제로 비대면 진료 확대를 선택했다 코로나19로 언택트 경제가 활성화 된 가운데 법제도 공백으로 제자리 걸음을 걷던 비대면 진료가 활성화 될 수 있을지 관심이 모아지고 있다 대통령직속 4차산업혁명위원회 위원장 윤성로 는 13일 규제 제도혁신 해커톤 의제선정위원회를 열고 3개 의제를 선정했다고 밝혔다 이날 선정된 의제는 포스트 코로나 19 제한된 범위 내 비대면 진료 서비스 허용 재활 돌봄 로봇의 의료 복지 서비스 차별화 규제 개선 농어촌 빈집 활용을 통한 공유숙박 활성화 등이다 특히 첫 번째 의제인 비대면 진료 서비스는 윤성로 4차위 위원장이 의제리더를 맡아 해커톤을 직접 운영하기로 했다 코로나19를 계기로 비대면 진료의 필요성이 대두됨에 따라 우선적으로 의료복지의 사각지대인 재외동포에 대한 비대면 진료 서비스 제공 여부를 논의한다 4차위는 각 의제마다 의제리더를 선정하고 이해관계자들을 포함해 15명 내외로 구성해 의제리더를 중심으로 사전 회의를 운영할 계획이다 6월 마지막 주에는 해커톤의 본 행사가 1박2일로 개최되며 주요 쟁점별로 논의한 최종 결과물을 위원장이 정리해 발표할 예정이다   
360도 입체콘텐츠 제작스튜디오 개소, 과학기술정보통신부 장관 최기영 이하 과기정통부 는 13일 한국 VR AR콤플렉스 KoVAC 에 실감콘텐츠 제작인프라인 K 실감스튜디오 Korea Immersive Studio 를 개소한다고 밝혔다 과기정통부는 5G 환경에서 360 입체 실감콘텐츠를 제작하기 위해서는 인텔스튜디오와 같은 실감콘텐츠 제작 인프라가 필요하다는 업계의 의견을 반영해 100억원 규모의 예산을 투입해 K 실감스튜디오 를 구축했다 총 100평 규모의 스튜디오에서 4K 고화질 카메라 60대로 객체를 모든 방향에서 촬영하고 각각의 카메라에서 촬영된 영상을 300대의 GPU 렌더팜을 통해 빠르게 병합 처리해 하나의 입체콘텐츠로 구현하게 된다 과기정통부 최기영 장관은 개소식 축사를 통해 실감콘텐츠는 5G 핵심서비스이자 포스트 코로나 시대 비대면 산업을 이끌 핵심서비스 분야 라며 K 실감스튜디오라는 실감콘텐츠 민관협력의 새로운 장을 통해 창의 혁신적인 실감콘텐츠 제작과 유통이 활성화되어 일상에서 실감콘텐츠 이용이 확대되고 글로벌 시장에도 진출하길 바란다 고 말했다   
모빌리티 플랫폼 ICT 규제 샌드박스로 본격 실증 지원, 공원 등에서 자율주행 로봇이 배달하는 서비스를 받을 수 있게 된다 과학기술정보통신부 장관 최기영 이하 과기정통부 는 13일 제9차 신기술 서비스 심의위원회 이하 심의위원회 를 열고 모빌리티 플랫폼 등 총 8건에 대한 규제 샌드박스 과제에 대해 7건의 경우 임시허가 및 실증특례를 지정하고 1건에는 지정조건 변경 승인을 결정했다 실증특례로는 코액터스의 고요한 모빌리티 플랫폼 파파모빌리티의 교통약자 특화 모빌리티 플랫폼 스타릭스 탑승 전 선결제 택시 플랫폼 언맨드솔루션의 자율주행 배달 로봇 만도의 자율주행 순찰 로봇서비스가 받았다 또한 카카오페이의 민간기관 등의 고지서 모바일 전자고지 네이버의 고지서 모바일 전자고지 등은 임시허가를 코나투스의 앱 기반 자발적 택시동승 중개 서비스는 지정조건 변경승인을 받았다 한편 과기정통부는 ICT 규제 샌드박스 제도 시행 현재까지 총 159건의 과제가 접수돼 137건이 처리되었다고 밝혔다 과기정통부 최기영 장관은 이번 심의위를 통해 다양한 모빌리티 플랫폼 과제와 배달 및 순찰 로봇 등 자율주행 모빌리티 과제들이 지정되어 국민 실생활의 편의성을 높이고 미래 모빌리티 분야의 경쟁력 확보에 기여할 수 있을 것으로 기대한다 며 앞으로도 관계부처와 긴밀히 협력해 ICT 규제 샌드박스를 통해 국내 모빌리티 분야의 혁신을 지속적으로 지원해 나갈 것 이라고 밝혔다   
"포스트코로나, ‘언택트산업’이 이끈다…‘규제해소’가 첫발", 코로나19 이후 이른바 포스트코로나 시대를 이끌 언택트 Untact 비대면 산업이 규제장벽 앞에 멈춰 있다 정부가 언택트산업 육성 컨트롤타워를 중심으로 규제해소 물꼬를 틀어야 한다는 제언이 나온다 13일 더불어민주당 코로나19국난극복위원회는 서울 여의도 국회 의원회관에서 포스트코로나시대 언택트산업 전략 토론회 를 열고 언택트산업 활성화를 위한 추진방향을 논의했다 위원회의 제도개선TF단장을 맡은 이원욱 의원과 비대면경제TF단장인 김병욱 의원이 주관했다 코로나19국난극복위원장인 이낙연 전 총리는 이날 토론회에서 코로나19로 언택트산업의 발전 속도가 빨라지고 있다 면서 정부의 정책 지원과 규제 완화 노력이 수반되어야 하며 국회 역시 언택트 시대의 본격적인 가동 이전에 입법 등 상당한 준비를 마쳐야 한다 고 강조했다 토론회 발제는 안정상 민주당 정책위 수석전문위원의 사회로 이학무 미래에셋대우 애널리스트 김직동 과학기술정보통신부 과기정통부 비대면산업육성팀 과장 추광호 한국경제연구원 한경연 경제정책실장 김형수 한국벤처캐피탈협회 전무 등이 발표했다 발제자들은 언택트산업이 정보기술 IT 뿐만 아니라 제조업 농어업 문화관광 등 다양한 분야에서 코로나19 이후 시대를 선도할 것이란 의견에 공감을 이뤘다 특히 언택트산업이 발전하려면 이를 가로막는 낡은 제도를 정비하고 정부의 체계적인 지원이 필요하다고 입을 모았다 대세된 언택트 유니콘 기업 과반이 비대면 업종 코로나19 이후 가장 큰 산업변화로는 기존 개인 이 선택하던 디지털화에서 교육 의료 근로 등 사회 기반의 디지털화가 가속화될 것으로 예측됐다 김직동 과기정통부 과장은 이 점을 들어 여행 숙박 등 서비스 산업은 침체되고 게임 전자상거래 등 언택트 산업은 반대급부로 성장할 것 이라고 분석했다 실제로 벤처캐피탈협회에 따르면 전 세계 유니콘 기업 400여곳 가운데 50 이상이 전자상거래 사이버보안 자율주행 등 비대면으로 분류되는 산업을 기반으로 하고 있었다 한국 역시 10개 유니콘 기업 가운데 과반이 비대면 업종이다 이에 김형수 전무는 향후 지원과 투자는 비대면 산업을 중심으로 비중이 훨씬 더 커질 것 으로 전망했다 언택트산업의 핵심인 화상 커뮤니케이션의 빠른 성장도 주목된다 이학무 애널리스트는 화상 커뮤니케이션은 3G 통신 시대부터 부상했지만 크게 주목받진 못했다 면서 코로나19 이후에는 가상 증강현실 VR AR 이 접목돼 더 실감 나는 서비스를 원하는 수요가 늘고 회의 강연은 물론 공연 관람 여행에서도 확대될 것 이라고 말했다 온라인동영상서비스 OTT 시장도 성장을 가속화할 것으로 내다봤다 이 애널리스트는 원래 한국이 미디어 콘텐츠 강국이 됐던 배경에는 극장 체인 플랫폼을 장악한 면이 컸는데 지금은 OTT가 부상하면서도 국내에 글로벌 탑티어 업체가 없다 면서 OTT의 핵심인 콘텐츠 역량을 키우는 방향을 고민해야 한다 고 지적했다 언택트산업 키우려면 시대착오적 규제 혁파해야 정부의 적극적인 규제 혁신 의지를 당부하는 목소리도 나왔다 추광호 한경연 경제정책실장은 규제를 바라보는 근본적인 시각의 변화가 있어야 한다 면서 포지티브 규제를 네거티브 규제로 전환하고 언택트산업 측면에서는 특별히 육성 컨트롤타워를 만들 필요가 있다 고 역설했다 언택트산업의 대표적인 규제 영역으로는 원격의료 스마트헬스케어 인터넷전문은행 전자상거래 등 4개 분야가 지목됐다 특히 의료 분야에서는 OECD 국가 20여개국이 원격 의료를 전면 허용한 상황임에도 한국에서는 의료진단행위에 대한 정의 자체가 협소해 의료 서비스는 물론 스마트 헬스케어 산업에서도 한계가 많은 게 현실이다 추광호 실장은 한국은 5G를 비롯한 인프라가 잘 보급돼 있음에도 원격 의료는 고사하고 건강 분석 앱이나 스마트기기가 스스로 발전을 못한다 면서 신산업에 맞지 않는 규제 체계를 해소한다면 상당한 발전을 이룰 수 있다 고 제언했다 다만 의료 서비스의 질적 하락 등 부작용도 있는 만큼 의료계와 대국민 설득이 전제 라고 덧붙였다 인터넷뱅킹과 전자상거래 분야에서도 추 실장은 지난 2017년 인터넷뱅킹을 허가하면서 제반 규제를 모두 풀어주겠다고 정부가 호언했는데 잘 지켜지지 않았다 면서 전자상거래 역시 발전 속도에 비해 오프라인 대형 마트 규제가 온라인 거래에까지 적용되는 등 기업에 따라 역차별도 발생하는 상황 이라고 지적했다   
데이터3법 시행령·가이드라인··· “5월 말 동시 발표한다”, 김 장 법률사무소에서 개최된 데이터와 AI의 법정책 과제 웨비나 5월 말 데이터3법 시행령을 행정예고하면서 가명정보 처리 등의 내용이 담긴 가이드라인도 동시에 발표할 계획입니다 8월5일 시행까지 기업들이 데이터 를 활용할 수 있도록 노력하겠습니다 이병남 개인정보보호위원회 과장 12일 이병남 개인정보보호위원회 이하 개보위 과장은 김 장 법률사무소 한국데이터법정책학회 국제사이버법연구회가 공동 주최한 데이터와 AI의 법정책 과제 웨비나에서 이같이 밝혔다 1월9일 국회 문턱을 넘은 데이터3법 개인정보보호법 신용정보법 정보통신망법 개정안은 8월5일부터 시행된다 시행이 3개월도 남지 않았지만 후속입법은 다소 지지부진하다 당초 개인정보보호위원회는 2월 말 시행령 개정안 발표를 목표로 했다 하지만 그보다 1개월 늦은 3월31일 입법예고된 시행령 개정안은 준비가 덜 됐다는 지적을 받았다 크게 지적된 것은 시행령의 모호성이다 법령은 포괄적인 개념을 다루는 만큼 명확한 정의가 어렵다 시행령과 시행규칙 등으로 법령을 구체화하는 것이 일반적이나 데이터3법 시행령 개정안 초안은 오히려 시행령에서 모호성을 더 키웠다 개인정보보호법 시행령 개정안 제14조의2에 추가된 개인정보를 추가적으로 이용하려는 목적이 당초 수집 목적과 상당한 관련성이 있을 것 개인정보를 수집한 정황과 처리 관행에 비추어 볼 때 추가적으로 이용할 수 있을 것으로 예측 가능할 것 등의 내용이 담겨 있다 상당한 관련성 관행에 비추어 예측 가능할 것 등은 법을 지켜야 하는 수범자 입장에서는 이해하기 어려운 용어들이다 이병남 개보위 과장은 데이터3법 시행령 개정안이 기대에 미치지 못했다는 지적을 많이 받았다 며 시행령 조항을 조정하자는 의견이 많았는데 초안에서 다소 개선된 시행령을 발표할 수 있을 것으로 보인다 고 말했다 이어서 그는 개인정보보호법과 신용정보법의 일관성 부재에 대한 부분도 언급했다 개인정보와 개인신용정보의 구분이 명확하지 않은데 개인정보보호법과 신용정보법이 다른 범위의 규제와 활용을 적용한 것에 대해 수범자의 혼란스러움을 이해한다 하위법령에서 그 간극을 좁히도록 노력하겠다 고 전했다 세미나에서는 법 개정을 통해 새롭게 도입된 가명정보 에 대한 논의도 진행됐다 가명정보는 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 추가 정보 없이는 특정 개인을 알아볼 수 없도록 처리한 정보다 하지만 특정 개인을 알아볼 수 없도록 한다는 것은 포괄적인 개념이다 개정법과 시행령 개정안 초안 에서는 어느 수준의 정보를 가명정보로 볼 것인지에 대한 구체적인 내용이 담겨있지 않다 이성엽 한국데이터법정책학회 회장은 현재 법률만 봐서는 가명처리에 대한 명확한 기준이 없다 가이드라인이 나와야 한다 며 하지만 가이드라인이 나오더라도 계속해서 의문사항이 남을 것이다 이는 데이터 활용을 어렵게 만드는 요소가 될 것 이라고 피력했다 정성구 김 장 법률사무소 변호사는 가명정보라는 개념상 애매한 부분이 없을 수가 없다 고 지적했다 그는 비식별조치 가이드라인 때만 하더라도 데이터를 활용하려던 당사자와 기업이 고소됐다 이후 업계에서는 데이터를 활용하려는 시도 자체가 없어졌다 며 가명정보를 위한 가이드라인에서도 같은 일이 발생할 수도 있는데 사회적 현상을 고려해서 가이드라인을 잘 만들어야 한다 고 밝혔다 개정된 데이터3법의 형사처벌 조항에 대한 비판도 제기됐다 최승필 한국외대 법학전문대학원 교수는 형사처벌을 줄이고 징벌적 과징금 등의 방향으로 나아가야 한다 고 주장했다 그는 원자력 기술의 안전을 높이기 위해 원자력 안전에 대한 처벌 규정을 강화했다 어떤 조항은 사형까지 규정할 정도 라며 그런데 규제를 강화했더니 그 분야 전문가들이 사라졌다 안전을 위한 규제가 오히려 안전에 위협이 된 상황 이라며 지나치게 엄격한 형사처벌 조항이 오히려 역효과를 낼 수 있다고 말했다 이에 대해 이병남 개보위 과장은 형사처벌을 민사처벌로 전환하자는 의견은 법안소위에서도 논의됐었다 며 아직 사회적 합의가 필요한 부분인데 더 열심히 고민하겠다 고 답했다 이인환 변호사는 법 개정이 이뤄지게 된 데이터 활용 이라는 취지대로 후속입법과 법 해석이 이뤄져야 한다 며 많은 논의와 의견이 발전적으로 작용해서 법 개정이 당초 기대됐던 데이터 경제 활성화에 기여할 수 있는 법제가 되길 희망한다 고 전했다 한편 이날 행사에서는 인공지능 AI 과 개인정보법제와 관련된 이슈에 대한 토론도 진행됐다 이성엽 교수는 AI의 발전은 대량의 데이터를 필수요소로 하고 빅데이터는 AI 기술로 분석될 때 그 가치를 발휘한다 고 AI와 데이터의 상호의존성을 설명했다 그는 AI는 빅데이터를 학습 분석해 일정한 패턴을 찾아내고 그 패턴에 따라 결과를 예측한다 이 과정에서 다수의 프라이버시 침해 우려가 있다 며 AI가 야기하는 프라이버시 침해 우려와 AI를 지원하기 위한 데이터 활용 필용성 간 균형적인 접근이 필요하다 고 강조했다 이성엽 교수는 AI와 빅데이터를 위한 별도 예외 규정이나 해석 준비 AI의 프라이버시 침해 가능성에 대해 사후적인 민사 행정책임 강화 형사책임의 완화 AI에 대한 각종 사전 규제 완화 및 자율규제 연성규범 유도 AI 기술개발이나 서비스 등의 데이터 사용 지침으로서 AI 데이터 윤리 정립 필요 등이 필요하다고 부연했다   
"접촉 안해도 인식…ETRI, 습도감지 센서 개발", 국내 연구진이 신소재를 이용해 기존보다 감도가 660배 뛰어난 센서를 개발했다 손가락으로 직접 터치하지 않는 비접촉 방식으로 1cm 내외서 습도 감지가 가능해 코로나19 등 전파 우려가 큰 전염병 예방에도 도움이 될 것으로 예상된다 한국전자통신연구원 ETRI 은 신소재인 이황화몰리브덴 MoS2 을 활용해 피부의 땀과 같은 수분이나 사람의 호흡량을 고감도 감지할 수 있는 습도 센서 기술을 개발했다고 밝혔다 습도 센서는 습도에 따라 저항이 변화하며 전기 신호 출력이 달라지는 원리를 이용해 감지하는 센서다 현금자동입출금기 ATM 모니터 스크린 등 터치형 제품이나 전자기기 방수 기능에 활용되며 최근에는 스마트 사물인터넷 IoT 농작물 관리 스마트 팜 등에도 많이 적용되는 추세다 특히 습도 센서의 감도를 높이면 접촉이 없이도 반응이 가능한 비접촉식 센서 개발이 가능하다 가전제품 산업용 전자기기 뿐 아니라 원전계통 내방사선 센서로 활용이 가능하고 최근 코로나19 확산으로 인한 생활 방역 관련 기술로 많은 응용이 이뤄질 전망이다 ETRI가 개발한 습도 센서의 감도가 세계 최고 수준인 66 000 이상으로 기존 센서보다 660배 이상 뛰어나다 감지 시간도 0 5초로 5 6초씩 걸리는 기존 상용센서보다 최대 12배 빠르다는 것이 연구진 설명이다 센서는 피부의 수분량 운동 전후 땀 배출량 및 호흡량의 차이 등을 감지할 수 있다 실제 손으로 직접 터치를 하지 않아도 손에 미량의 수분을 센서가 감지하고 패치형으로 센서를 만들어 피부에 붙여 운동 전후 땀의 양 변화나 운동 강도에 따른 호흡량 측정도 가능하다 또한 이러한 원리를 이용하면 신체 각 부위의 수분량 측정이 손쉽게 센싱이 가능해 피부의 습도와 관련된 디지털 헬스케어 뷰티 미용 보습 제품 공기청정기 등에 향후 활용이 예상된다 특히 최근 코로나19 예방 수칙에 따라 생활 주변 사물들에 대한 위생 소독에 관심이 많아지면서 출입문 엘리베이터 버튼 등 터치식 제품의 대안 기술로도 관심이 높아질 것으로 보인다 ETRI ICT창의연구소 신소자연구실 최춘기 박사는 특허 출원을 진행 중이며 바로 기술 이전이 가능해 2년 내 상용화가 가능할 것으로 보고 있다 며 비접촉식 센서 기술이 국민 생활에 편의를 더하는 동시에 공중 보건위생을 개선하는데도 도움이 되길 바란다 고 말했다   
